COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,3Q2023,166787.217
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,3Q2023,316966.686
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,3Q2023,152659.951
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,NOV2022,3260.422
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,NOV2022,3260.422
TOTOECD,BALANCE,TOTPRODS,BUNKERS,NOV2022,6823.579
TOTOECD,BALANCE,CRNGFEED,CSNATTER,NOV2022,268275.062
TOTOECD,BALANCE,TOTPRODS,CSNATTER,NOV2022,203753.086
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,NOV2022,23219.594
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,NOV2022,155287.98
TOTOECD,BALANCE,CRNGFEED,INDPROD,NOV2022,109469.692
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,NOV2022,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,NOV2022,152027.55800000002
TOTOECD,BALANCE,CRNGFEED,OSNATTER,NOV2022,269788.943
TOTOECD,BALANCE,TOTPRODS,OSNATTER,NOV2022,200216.406
TOTOECD,BALANCE,CRNGFEED,OSOURCES,NOV2022,7698.061
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,NOV2022,23219.594
TOTOECD,BALANCE,CRNGFEED,PTRANSF,NOV2022,6211.925
TOTOECD,BALANCE,TOTPRODS,PTRANSF,NOV2022,6211.925
TOTOECD,BALANCE,TOTPRODS,RECYCLED,NOV2022,107.478
TOTOECD,BALANCE,TOTPRODS,REFFUEL,NOV2022,6444.528
TOTOECD,BALANCE,TOTPRODS,REFGROUT,NOV2022,160420.093
TOTOECD,BALANCE,CRNGFEED,REFINOBS,NOV2022,162856.16
TOTOECD,BALANCE,CRNGFEED,REFLOSS,NOV2022,2436.067
TOTOECD,BALANCE,CRNGFEED,STATDIFF,NOV2022,-5104.159000000001
TOTOECD,BALANCE,TOTPRODS,STATDIFF,NOV2022,2903.228
TOTOECD,BALANCE,CRNGFEED,STCHANAT,NOV2022,-1513.881
TOTOECD,BALANCE,TOTPRODS,STCHANAT,NOV2022,3536.6800000000003
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,NOV2022,50611.557
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,NOV2022,53889.404
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,NOV2022,103429.171
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,NOV2022,51350.159
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,NOV2023,3509.2
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,NOV2023,3509.2
TOTOECD,BALANCE,TOTPRODS,BUNKERS,NOV2023,6152.206
TOTOECD,BALANCE,CRNGFEED,CSNATTER,NOV2023,263794.203
TOTOECD,BALANCE,TOTPRODS,CSNATTER,NOV2023,198684.79499999998
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,NOV2023,22387.323
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,NOV2023,151483.99599999998
TOTOECD,BALANCE,CRNGFEED,INDPROD,NOV2023,116048.023
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,NOV2023,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,NOV2023,147974.796
TOTOECD,BALANCE,CRNGFEED,OSNATTER,NOV2023,262387.423
TOTOECD,BALANCE,TOTPRODS,OSNATTER,NOV2023,200413.118
TOTOECD,BALANCE,CRNGFEED,OSOURCES,NOV2023,7199.085
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,NOV2023,22387.323
TOTOECD,BALANCE,CRNGFEED,PTRANSF,NOV2023,8520.325
TOTOECD,BALANCE,TOTPRODS,PTRANSF,NOV2023,8520.325
TOTOECD,BALANCE,TOTPRODS,RECYCLED,NOV2023,92.318
TOTOECD,BALANCE,TOTPRODS,REFFUEL,NOV2023,6235.04
TOTOECD,BALANCE,TOTPRODS,REFGROUT,NOV2023,155684.43600000002
TOTOECD,BALANCE,CRNGFEED,REFINOBS,NOV2023,159965.443
TOTOECD,BALANCE,CRNGFEED,REFLOSS,NOV2023,4281.007
TOTOECD,BALANCE,CRNGFEED,STATDIFF,NOV2023,1162.427
TOTOECD,BALANCE,TOTPRODS,STATDIFF,NOV2023,1446.123
TOTOECD,BALANCE,CRNGFEED,STCHANAT,NOV2023,1406.78
TOTOECD,BALANCE,TOTPRODS,STCHANAT,NOV2023,-1728.3229999999999
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,NOV2023,51548.648
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,NOV2023,55209.252
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,NOV2023,101193.988
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,NOV2023,49154.542
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,Y2D2022,33751.524
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,Y2D2022,33751.524
TOTOECD,BALANCE,TOTPRODS,BUNKERS,Y2D2022,76138.216
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,Y2D2022,251489.534
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,Y2D2022,1695110.878
TOTOECD,BALANCE,CRNGFEED,INDPROD,Y2D2022,1176510.596
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,Y2D2022,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,Y2D2022,1661359.354
TOTOECD,BALANCE,CRNGFEED,OSOURCES,Y2D2022,83125.205
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,Y2D2022,251489.534
TOTOECD,BALANCE,CRNGFEED,PTRANSF,Y2D2022,64776.294
TOTOECD,BALANCE,TOTPRODS,PTRANSF,Y2D2022,64776.294
TOTOECD,BALANCE,TOTPRODS,RECYCLED,Y2D2022,1212.885
TOTOECD,BALANCE,TOTPRODS,REFFUEL,Y2D2022,73144.933
TOTOECD,BALANCE,TOTPRODS,REFGROUT,Y2D2022,1739212.234
TOTOECD,BALANCE,CRNGFEED,REFINOBS,Y2D2022,1777618.229
TOTOECD,BALANCE,CRNGFEED,REFLOSS,Y2D2022,38405.995
TOTOECD,BALANCE,CRNGFEED,STATDIFF,Y2D2022,-41548.558
TOTOECD,BALANCE,TOTPRODS,STATDIFF,Y2D2022,20865.904
TOTOECD,BALANCE,CRNGFEED,STCHANAT,Y2D2022,-22342.821
TOTOECD,BALANCE,TOTPRODS,STCHANAT,Y2D2022,2712.3900000000003
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,Y2D2022,535819.022
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,Y2D2022,615956.145
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,Y2D2022,1142871.787
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,Y2D2022,556790.107
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,Y2D2023,35540.85
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,Y2D2023,35540.85
TOTOECD,BALANCE,TOTPRODS,BUNKERS,Y2D2023,69660.876
